品名,單位,重量,熱量
孕婦乳母奶粉,,100克,380
孕婦乳母奶粉,,100克,405
外婆紅燒肉,,261克,962
生啤酒,1缶,,171.5
凸眼魚,,100克,107
甲魚蛋,,100克,128
白條魚,,100克,103
冬莧菜,,100克,30
生蛋黃,,17克,65
白眼棱魚,,100克,119
北部粽,,140.8克,474.6
可莉餅,,156克,199.7
可莉餅,,167.5克,157.5
奶脯豬肉,,100克,349
皮蛋瘦肉粥,,380克,168
母麻鴨,,100克,461
白斬雞,,642克,1095
卡啦雞腿堡,,187克,445
汁淋蘿蔔泥冷烏龍麵,,370.3克,740.5
白湯,,100克,137.9
包菜,,100克,22
仙菜,,100克,189
冬棗,,100克,105
平菇[糙皮側耳，青蘑],,100克,20
平菇[糙皮側耳、青蘑],,100克,14
白筍,,100克,196
生菜水果沙拉,,170克,188.7
白菜什錦煮,,110克,96.2
奶酥皮水果塔20克,,33.5克,109.1
加鈣米,1碗,,284
四棱豆,,100克,11
四棱豆[楊桃豆、翅豆],,100克,11
生黃豆,,20克,73
加鈣豆漿,1杯,,139.2
白斑角鯊,,100克,118
包菜炒餅絲,,639克,978
奶酥厚片,,75克,235.6
四絲馬,,1兩,38.5
奶酥甜麵包60克,,53.5克,228.9
冬寒菜,,100克,30
冬寒菜[冬莧菜，冬葵],,100克,30
加飯黃酒,,100克,37
白菜獅子頭,,307.7克,107.7
北菇滑雞粥,,332克,591
白菜酸梅汁,,240克,139.2
冬菜蝦仁餛飩,,100克,180
白菜薹,,100克,25
白菜薹[菜薹，菜心],,100克,25
奶酥麵包,1份,,372
冬筍蘑菇煲,,573克,402
冬葵,,100克,30
田園生菜,,88克,121.6
巧達魚湯,,349.9克,577.4
白葡萄,1盤,,55.2
田園蔬菜,,121克,321.8
田園蔬菜湯,,75克,23
幼滑蝦醬,1個,,19.8
田園羅宋湯,,140克,124
甘蒲,,100克,12
可爾必思蘇打,,350毫升,165
白腐乳,,100克,133
仙蜜果,,100克,51
石榴花茶,,100克,320
包種茶,1包,,0.3
北鳳菌,,100克,14
北鳳菌[荷葉離褶傘、一窩羊],,100克,14
石榴鮮橙汁,,310克,160
白箭口香糖,,21克,90
可樂果,,85克,420
石蓮花蜜汁,,330克,260.7
玉蔓菁,,100克,30
可樂飲料,1缶,,178.5
可樂餅,1個,,114
可樂豬腳,,100克,225
扒豬臉,,100克,347
可樂雞翅,,720克,1329
奶糖,,100克,407
白燒-黑胡椒里肌,,100克,258
石頭菜,,100克,19
白燕盞,,10克,42
石螺,,100克,90
甘薯片,,100克,340
甘薯片[白薯乾],,100克,340
石鍋拌飯,,561克,835.9
甘薯粉,,100克,336
甘薯粉[地瓜粉],,100克,336
甘薯粉絲,,100克,342
生鮭魚,,125克,195
白薯乾,,100克,340
白薯葉,,100克,58
甘薯葉,,100克,30
白薯葉[甘薯葉],,100克,58
甘薯蜜餞,1碟,,172
生薑藕粉湯,,165克,229.4
白鯇,,100克,113
扒雞,,100克,217
田雞[青蛙],,100克,93
甘藍[圓白菜，卷心菜],,100克,22
母雞,,100克,256
扒雞,,100克,206
冬蟲夏草[蟲草],,100克,292
冬蟲夏草茶,1缶,,62.4
甘藍菜,,100克,16
田雞腿[青蛙腿],,100克,79
甘藷：芋心地瓜,1個,,74.8
甘藷：紅肉,1份,,58.3
甘藷：黃肉,1份,,68.2
尼羅吳郭魚,1尾,,50
甘藷條,1碟,,102.3
冬蘑,,100克,146
白麵包,,25克,75
生鹹蛋,1粒,,108.6
白蘑菇[雙孢蘑菇、洋蘑菇],,100克,27
玉蘭片,,100克,43
白蘭瓜,,100克,21
白露蝦,,100克,90
白鶴靈芝飲料,1缶,,26
白鰱,,100克,84
正鰹,,1兩,52.2
立體脆,,100克,475
白蘿蔔湯,,80克,3.5
巧釀虎皮尖椒,,25克,33.6
瓦罐雞湯,,100克,190
瓦罐雞湯,,100克,27
台灣小吃春捲,1個,,405
台灣馬加,地古牛100,,克
西瓜牛奶,,490克,182.3
百令可樂,,100克,28
地瓜西米露,,45克,117.2
印尼沙嗲炒麵,,245克,117.7
老北京木須肉,,356克,483
地瓜兒苗葉,,100克,60
多汁乳菇,,100克,13
羊奶保久乳,1杯,,180
羊奶保久乳,1杯,,158.4
羊奶粉,1份,,151.5
印尼梳餅,,30克,103.5
地瓜乾,,100克,338
西瓜脯,,100克,307
地瓜甜湯,,304克,89.7
肉末雪裡紅,,65克,27.3
江白菜,,100克,12
地瓜粥,,250克,472.5
血皮菜,,100克,12
地瓜飯,,110克,284
地瓜稀飯,,155克,258.1
地瓜葉炒肉絲,,80克,79.8
地瓜葉粥,,300克,156
肉末蒸蛋,,155.4克,159
西瓜漾漾紅,,270克,137.7
西汁龍穿鳳,,320.7克,250.2
米瓦罐,,100克,36
羊血,,100克,57
羊舌,,100克,225
江米,,100克,348
地衣,,100克,6
羊肉手抓,,100克,188
西式火腿,1份,,62.1
早安奶油吐司,,110克,366.8
羽衣甘藍,,100克,32
年年有餘,,311.8克,265
回回豆,,100克,105
羊肉串,,100克,118
羊肉串,,100克,217
羊肉串,,100克,206
羊肉串,,100克,234
早安花生吐司,,58克,200.1
羊肉花枝魷魚羹,,177.5克,281.6
羊肉炒麵,,334.5克,633.8
老年保健肉鬆,,100克,458
江米條,,100克,439
羊肉乾,,100克,588
老年蛋糕,,100克,383
西式蛋糕,,100克,316
百合紫米粥,,70克,224.7
光合農場100%野莓葡萄綜合果汁,,290克,150.8
光合農場100%檸檬蘋果綜合果汁,,290克,139.2
羊肉燴飯,,360克,708.1
百合糯米甜粥,,30克,110.5
羊肝,,100克,134
羊肚菌,,100克,295
羊肚菌[乾狼肚],,100克,295
行吟閣啤酒,,100克,19
米豆醬,1個,,25.6
曲拉,,100克,356
肉沫,,100克,198
早秈,,100克,359
羊油,,100克,824
羊肺,,100克,96
羊乳,1杯,,153.6
西芹[西洋芹菜、美芹],,100克,12
早秈,,100克,346
羊油,,100克,895
早秈,,100克,351
早秈,,100克,345
多味山楂,,100克,249
羊乳片,1個,,125.4
安佳切片乳酪,,100克,485
肉泥豆腐丸子,,770克,964
西芹炒百合,,100克,25
西芹花枝,,94.5克,58.6
西芹南瓜蔬果汁,,375克,251.3
多花菜豆,,100克,22
羊乳酪,,100克,250
曲奇餅,,100克,546
曲奇餅,,100克,526
米花糖,,100克,384
西芹鮑魚菇,,93克,28.5
吃味鮮鹹酥雞,,113.5克,241.8
西芹雞柳,,105.8克,58.7
西芹藕片,,209克,99
西柚,,100克,33
百頁,,25克,75
米苔目甜湯,,90克,133
西柚汁飲料,,100克,34
百香青木瓜,,111.9克,104.1
百香果木瓜,,187.5克,147.6
百香果冰砂,,401克,437.1
西洋芹炒肉絲,,90克,91.7
西紅柿燒茄子,,437克,599
百頁結,,25克,75
西洋菜,,100克,17
血紅菇,,100克,252
印度達樂飯,,82克,218.1
印度蘋果,,100克,44
地栗,,100克,59
地骨,,100克,44
全家 三杯雞便當,,417.8克,756.3
全家 天府椒麻雞涼麵,,288克,385.9
全家 火腿蛋炒飯飯糰,,99.5克,176.1
全家 加熱滷味,,325.6克,416.8
全家 肉鬆飯糰,,113.4克,418.4
全家 冷藏火腿蛋炒飯,,316.4克,537.8
全家 冷藏蕃茄蛋炒飯,,314.9克,560.5
全家 黑胡椒牛柳飯糰,,108克,189
全家 新超值宮保雞丁便當,,389克,770.2
全家 鮪魚手捲,,153.9克,452.3
全家 鮭魚細捲,,104克,333.7
全家 鮪魚細捲,,104克,321.2
全家 蟹肉沙拉飯糰,,108.4克,357.7
全家 蘭花亭麻將涼麵,,300克,537
全家1/2每日野蔬-田園什錦野蔬湯,,280克,86
全家1/2每日寒天海藻沙拉,,150克,49
曲酒,,100克,330
早桃,,100克,39
全家千層火腿鮮蔬三明治,,105克,277
全脂牛奶,,240毫升,150
全脂牛奶粉,,100克,478
全家日本辣油春雨生菜沙拉,,106克,103
全家日式鰹露蕎麥涼麵,,235克,290.9
西班牙焗飯,,270克,480.7
全家火腿玉子生菜沙拉,,104克,73
全家火腿洋芋沙拉,,137克,173
伏特加,,100克,234
全脂奶粉,,35克,177.4
全脂奶粉,,100克,504
全脂奶粉,,100克,504
全脂加糖奶粉,,100克,490
全脂羊奶,,240克,170
全脂羊乳粉,,100克,498
全脂即溶奶粉,,100克,445
全家和風鮪魚生菜沙拉,,94克,75
全家芝麻牛蒡沙拉,,77克,158
全脂保久乳,1杯,,156
全家厚切豬排堡三明治,,98克,223
全家特選1.5倍麻醬涼麵,,335克,508.9
全家特選2倍麻醬涼麵,,440克,607.2
全脂甜奶粉,,100克,476
全脂軟酪,,100克,313
全脂甜煉乳,,100克,380
全脂甜煉乳,,100克,374
全家野蔬蕎麥涼麵,,205克,232.1
米粉湯,,257.5克,904
有氧飲料,1缶,,84
全家義式雞蛋沙拉,,150克,285
全家當季水果---綜合水果,,250克,105
全家當季水果---蘋果,,260克,137.8
全家當季水果木瓜,,200克,128
合粉圓愛玉冰,,276克,400.2
早茶餅,,100克,440
全料蒸肉粉,,100克,342
全脂蒸發奶,,120克,170
米酒頭,1杯,,47.6
肉桂糖,,13克,49.3
肉桂優格烤蘋果,,155克,128.6
全家鮪魚手卷,,90克,220.5
全家鮪魚飯糰,,51克,155
全脂優酪乳,,227克,140
全家蘭花亭涼麵,,275克,462
多脂鱗傘,,100克,237
血蚶,,100克,71
竹參,,100克,155
西梅,,100克,39
竹笙扒角瓜,,100克,307
竹笙紅棗茶,,234.8克,67.5
全蛋粉,,100克,545
冰淇淋粉,1球,,232.6
冰淇淋聖代,1份,,300
冰淇淋椰果凍飲,,289.8克,324.6
冰淇淋蜜紅豆,,141克,375.1
全麥葡萄乾小餐包,,30克,111
全麥葡萄乾小餐包,1份,,111.3
老婆餅,,46.7克,192.4
收涎餅,,36.3克,149.7
肉脯餅,,134.1克,451.7
全麥麵包,,25克,65
艾菜,,100克,21
地筍,,100克,60
冰棍,,100克,47
肉酥,,100克,509
羊腎,,100克,96
地筍[地古牛，地瓜兒苗葉],,100克,60
冰棒,,100克,73
冰棒,,100克,95
早黃瓜,,100克,12
竹報平安,,428克,672
肉絲冬粉湯,,155克,233
肉絲米苔目,,215克,319.9
老菱角,,100克,98
竹筍炒肉絲,,95克,154.7
肉絲炒伊麵,,502.8克,517.9
肉絲炒豆乾,,110克,159.4
肉絲炒金針花,,140克,141.7
肉絲炒韭黃,,125克,156
竹筍炒甜不辣肉絲,,130克,225.6
肉絲炒飯,,205克,373.9
竹筍炊飯,,277.5克,552.2
肉絲皇宮菜,,90克,122
早酥梨,,100克,43
肉絲蛋炒飯,,261.5克,428.1
百崴啤酒,,350毫升,142
竹筍排骨湯,,65克,93.8
竹筍湯,,50克,11
肉絲湯麵,1碗,,455
肉絲蝦仁炒飯,,205克,356.1
西番蓮汁飲料,,100克,50
尖椒蘑菇肉片,,334克,896
竹筍罐頭,1碟,,34
肉圓,1個,,303.8
羊腦,,100克,142
百匯水果冰茶,,625.1克,312.5
地雷瓜,,100克,29
冰椰果奶茶,,124克,261.6
竹葉青酒,,100克,307
竹節草,,100克,71
竹葉菜,,100克,32
竹節鴿盅,,290克,316.1
肉圓鑲蛋,,71.5克,111.7
肉粽,1粒,,466
竹蓀,,100克,155
米餅,,100克,536
自製牛肉丸子,,46.5克,67
自製牛肉壽喜燒,,280克,138.8
羊腿肉,,71克,130
羊腿肉,,85克,235
自製米苔目,,250克,160
自製百香果汁,,95克,62.7
自製香酥椒鹽花生米,,10克,55.3
自製紅燒雞翅,,30克,68.1
自製烤牛小排,,70克,238
地鳳梨,,100克,41
自製涼皮,,50克,81.6
自製清燉牛腩,,220克,77.8
自製滑蛋牛肉,,88.3克,117.1
艾窩窩,,100克,190
竹塹餅,,80.5克,451.5
冰酸糖角,,100克,257
自製燒賣,,40克,97.2
自製螞蟻上樹,,65克,119
多維麵包,,100克,316
地膚,,100克,61
江蝦,,100克,87
竹輪,1盤,,47.6
江蝦[沼蝦],,100克,87
地膚[益明，掃帚苗],,100克,61
尖嘴白,,100克,137
老醋花生,,349克,1471
米漿飲料,1杯,,170.4
多穀類牛乳,1杯,,158.4
冰磚,,100克,153
早橘,,100克,57
早餐奶,,100克,68
舌頭魚,,100克,83
冰激淩,,100克,211
冰激淩,,100克,173
冰激淩,,100克,278
冰激淩,,100克,202
冰激淩,,100克,205
冰激淩,,100克,158
冰激淩,,100克,150
冰激淩,,100克,145
年糕湯,,200克,302
合錦菜,,100克,75
羊蹄筋,,100克,159
羊蹄筋,,100克,41
冰糖銀耳枸杞湯,,65克,139
米諾蝦,1個,,22.2
冰糖蓮子,,30克,111
有機蔬菜沙拉,,90克,83.7
冰糖燕窩,,15克,62
肉燥米粉,,65克,254
肉燥米粉湯,,67克,157.5
回鍋肉飯糰,,48克,150.2
米糠油,,100克,894
老闆魚,,100克,81
肉雞,,100克,389
肉鬆三明治,,60克,204.1
肉鬆小黃瓜三明治,,107克,361.7
肉鬆火腿三明治,,100克,339
冰鎮石蓮花,,200克,110
肉鬆吐司,,80克,260
肉鬆蛋三明治,,140克,444.9
肉鬆細捲,,45克,167.1
肉鬆蛋餅,,130克,370.5
肉鬆飯糰,,54克,215.5
肉鬆燒餅,,150克,477.8
肉鬆饅頭,,185克,471.4
旭蟹,1盤,,23.4
肉羹製作DIY,,111.3克,253.8
血糯米,,100克,343
伏蘋果,,100克,45
多寶魚,,100克,102
早糯穀,,100克,354
舌鰨,,100克,83
舌鰨[花紋舌頭，舌頭魚],,100克,83
西蘭花[綠菜花],,100克,19
多鱗喜,,100克,84
杏,,100克,36
李：加州紅李,1粒,,
李：加州黑李,1粒,,
李：台灣加州李,1粒,,
李：紅肉李,1粒,,
杏,,100克,37
沙丁魚[沙鯔],,100克,89
沙士,1缶,,150.5
伯子仁豬心湯,,100克,114.8
李子杏,,100克,35
赤小豆[小豆，紅小豆],,100克,309
旱久保桃,,100克,47
豆干絲炒芥菜,,166克,191.1
沙士飲料,1缶,,126
每日C 100%柳丁原汁,,220毫升,112.2
每日C 100%柳橙原汁,,220毫升,112.2
每日C 100%葡萄柚原汁,,220毫升,108
每日C 100%葡萄原汁,,220毫升,147.4
每日C柳橙原汁,,220克,104.1
每日C柳橙原汁,,410克,193.9
佛手瓜[棒瓜，菜肴梨],,100克,16
夾心米果,,100克,593
佛手疙瘩,,100克,51
杏仁凍豆腐,,423.5克,673.4
沙巴翁焗水果,,230克,195.5
沙巴翁醬汁,,60克,162.1
佛手乾坤,,561克,269.3
汽水飲料,1缶,,147
夾心酥餅,,100克,481
杏仁椰汁飲料,,100克,39
夾心餅乾,1個,,99
夾心糖,,100克,494
杜氏橄欖粗皮鯛,,1兩,48
豆奶,,100克,30
豆奶,1杯,,132
豆奶[豆乳],,100克,30
豆汁,,100克,10
豆皮肉卷,,512克,1309
赤出豆腐湯,,109克,109
豆包炒豆芽,,160.5克,152.4
豆皮炒油菜,,367克,272
低卡洛里奶油,1份,,22.2
豆奶粉,,100克,432
豆奶粉,,100克,398
豆奶粉,,100克,419
吻仔魚炒覓菜,,120克,91.6
吻仔魚烤絲瓜,,117.2克,47.7
吻仔魚粥,,300克,472.5
吻仔魚蔬菜粥,,255克,331.5
忍冬菊花飲,,69克,217.5
芋仔餅,1個,,210.6
豆奶優格,,200.4克,128.2
芋艿,,100克,79
沙米,,100克,336
芋艿老鴨湯,,1005克,1595
豆角,,100克,30
扭豆,,100克,340
豆豆,,100克,345
赤貝,,100克,61
豆角,,100克,30
孛孛丁葉,,100克,49
豆沙包,1個,,168.7
豆肝尖,,100克,192
豆角炒肉,,477克,449
豆角炒香腸,,516克,939
豆豆苗,,100克,105
豆油,,100克,899
沙果,,100克,66
芒果[抹猛果，望果],,100克,32
沙拉三明治,,90克,340.2
決明子茶,1缶,,52.8
芒果牛奶,,345克,182.2
芋泥包,1個,,125.5
芒果汁飲料,,100克,44
沙拉吐司,,68克,230.5
芒果冰砂,,250克,230
貝果夾起司,,145克,423
芒果青,1份,,60
豆芽炒韭菜,,97.5克,40.7
豆乳泥辣醬,,64克,216.3
豆芽菜炒木耳,,105克,78.2
豆芽菜炒肉絲,,137.5克,136.8
豆芽菜炒黃瓜火腿,,150克,135.2
沙拉蝦,,30克,83.4
芒果蝦球,,230克,184
快炒鮮蚵,,37.5克,69.2
芒果優酪乳,,320克,249.6
沙拉雞絲,,550克,707
沙拉蘆筍,,120克,154.8
赤虹,,100克,81
車前子,,100克,67
車前子,,100克,67
豆苗炒雞蛋,,217克,259
沙威瑪,,94克,239.6
低度漢酒,,100克,216
即食燕麥片,1包,,113.4
汾酒,,100克,317
低脂牛奶,,244克,100
低脂牛奶,,244克,120
低脂木瓜牛奶,,410克,196
抗氧化奶粉,1份,,109.8
冷凍木耳,1碟,,5.1
沙茶牛肉,,168.3克,207.4
沙茶木耳炒肉柳,,62克,117.1
沙茶牛肉河粉,,412克,535.6
冷凍毛豆,1個,,66
抗氧化美容汁,,360克,190.8
冷凍玉米,1碗,,174
低脂奶粉,,25克,105.8
低脂奶粉,,100克,423
低脂奶粉,,100克,413
沙茶羊肉火鍋,,304.5克,403.6
沙茶羊肉空心菜,,96.7克,152.6
沙茶羊肉炒飯,,230克,578.2
沙茶羊肉炒麵,,479.5克,711.2
沙茶羊肉蛋炒麵,,404.5克,635
冷凍竹筍,1碟,,17
低脂低乳糖奶粉,1份,,104
冷凍芋頭,1碗,,80.8
沙茶炒牛肉塊,,45.8克,75.8
冷凍青花菜,1碟,,28
伯朗咖啡錠,,15克,62.4
低脂乳酪,,100克,241
冷凍花椰菜,1碟,,21
沙茶芥藍肉片,,108.5克,113.3
沙茶芥藍炒羊肉,,150克,219.8
冷凍洋菇,1碟,,3.9
冷凍胡蘿蔔,1碟,,13
沙茶粉,1個,,50.3
冷凍荔枝,1盤,,56
冷凍高麗菜,1碟,,35
冷凍菜豆,1碟,,61
冷凍菠菜,1碟,,17
沙茶滑蛋牛肉燴麵,,402.5克,613.5
沙茶豬肉燴飯,,415克,598.8
冷凍豌豆,1碟,,58
冷凍熟烤雞翅,1盤,,86.4
沙茶鴨胗,,126.8克,228.2
冷凍薯條,1碟,,85.8
沙爹雞肉丸,,162克,277
沙茶雞柳,,64.5克,148.4
冷凍饅頭,1個,,207.8
冷凍饅頭,1個,,220.5
沙梭,,100克,84
豆粕,,100克,310
杏乾,,100克,330
快魚,,100克,159
杏脯,,100克,329
豆粕,,100克,321
夾蛋吐司,,141克,359.6
豆乾炒丁香,,59.8克,133.7
豆豉虱目魚炒豆腐,,110克,146.1
豆豉青椒炒魚片,,91.8克,118.4
豆豉苦瓜,,55克,53.2
豆豉烏魚塊,,76克,137.6
沙梭魚,,100克,122
豆豉蚵,,40克,71.2
豆豉蚵仔,,70克,94.3
沙參葉,,100克,82
沙參葉[白參],,100克,82
赤眼鱒,,100克,109
赤眼鱒[金目魚],,100克,109
沙棘,,100克,119
角菜,1碟,,41
杏菌,,100克,21
沙棘果汁,,100克,44
沙棘果漿,,100克,325
孜然香乾,,124克,141.5
孜然烤羊肉串,,97.6克,105.9
豆酥高麗菜,,120.7克,71.7
免煮飯,1碗,,336
沙蛤蜊,,100克,56
沙琪瑪蛋酥,,100克,506
孜然雞心,,54克,156.8
沙菠蘿麵包95克,,70.3克,298.2
低鈉鹽,1個,,0.6
沙葛,,100克,55
即溶咖啡,1包,,100.8
肚裡黃,,100克,321
即溶檸檬紅茶,1缶,,395
沙蒿,,100克,52
抓餅,,121.2克,329.8
豆蓉,,100克,340
豆腐丸子,,162克,272.2
豆腐卷,,100克,201
豆槐花,,100克,78
豆腐花,,100克,401
豆腐花[豆腐粉],,100克,401
豆腐炒韭菜,,104.8克,92.3
沙蒿籽,,100克,412
豆腐粉,,100克,401
豆腐乾,,100克,414
豆腐乾,,100克,174
豆腐乾,,100克,140
豆腐乾,,100克,151
豆腐乾,,100克,99
豆腐乾,,100克,336
豆腐乾,,100克,136
豆腐乾,,100克,135
豆腐乾,,100克,153
豆腐乾,,100克,156
豆腐絲,,100克,201
豆腐絲,,100克,300
豆腐絲,,100克,451
豆腐腦,,100克,15
豆腐腦[老豆腐],,100克,15
豆腐腦,,100克,47
豆腐燴香菇,,177.5克,133
豆腐鮮蚵,,200.2克,114.7
沙蔥,,100克,33
沙蓬子,,100克,336
沙蓬子[沙米],,100克,336
李廣杏脯,,100克,284
豆蔻粉,,100克,431
豆漿粉,,100克,430.8
車輪菜,,100克,67
低熱量可樂飲料,1缶,,3.5
低熱量春捲,,158克,305.6
芋頭[芋艿、毛芋],,100克,54
芋頭[芋艿，毛芋],,100克,79
芋頭：小芋頭,1碗,,45.1
芋頭丸子,,52克,198.7
芋頭牛奶,,375克,292.9
芋頭西米露,,298克,160.3
芋頭甜湯,,316克,138.4
芋頭酥,,71.6克,199.7
芋頭粥,,105克,140.9
芋頭飯,,77.5克,211.7
杏鮑菇湯,,260克,32
芋頭稀飯,,277.5克,175.1
芋頭粿,1個,,57.6
豆薯[涼薯，地瓜，沙葛],,100克,55
低膽固醇雞蛋,1粒,,78.6
卵磷脂沙拉油,1小匙,,44
汽鍋雞,,527克,627
沙雞,,100克,147
杏醬,,100克,286
沙鯔,,100克,89
沖繩炒絲瓜,,134克,100.7
豆瓣茄子,,54克,40.4
豆瓣菜[西洋菜，水田芥],,100克,17
豆瓣辣醬,,100克,59
豆簽羹,,470克,333.7
冷麵,,355.8克,612
李鹹冰,,82克,244.4
旱蘋果,,100克,30
牡蠣[海蠣子],,100克,73
牡蠣干,1盤,,67
牡蠣乾,,20克,55
牡蠣湯,,32.5克,25
低鹽醬油,1個,,7.7
沙鑽魚,,100克,84
沙鑽魚[多鱗喜，沙梭，麥穗魚],,100克,84
京八件,,100克,435
呷七碗烤雞腿油飯,,300克,735
呷七碗碗粿,,306.6克,286.1
炒川七,,167克,110.2
炒小白菜,,55克,51
抱子甘藍,,100克,23
炒小瓜雞丁,,125.6克,110.2
炒三色,,110克,79
青大豆,,100克,373
炒小魚乾,,15克,77.7
杯子蛋糕,,109克,242.4
炒三絲,,105克,76
炒三蔬,,111克,138.2
炒三鮮,,93克,130.3
味千雞湯拉麵,,400克,1081
炒山蘇,,105克,72
松口蘑,,100克,112
炒三蘇小魚干,,115克,105.7
炒山蘇小魚干,,108克,82
松仁,,100克,530
明太子帝王鮭飯糰,,101克,178
松仁玉米,,354克,1164
炒木耳,,75克,69
炒牛肉片,,250克,300
乳牛肝菌,,100克,178
乳牛肝菌,,100克,178
空心果,,100克,451
炒五香豆干,,27.5克,88
金元帥蘋果,,100克,51
果仁脆棗,,100克,484
空心脆棗,,100克,376
明太魚,,100克,88
明月梨,,100克,53
卷心菜,,100克,22
空心菜炒羊肉,,100克,127.9
空心菜梗炒肉絲,,72.7克,99.5
空心菜葉魚干湯,,86.5克,75.5
狀元餅,,100克,435
長毛對蝦,,100克,90
東方對蝦,,100克,84
長毛對蝦[大蝦，白露蝦],,100克,90
東方對蝦[中國對蝦],,100克,84
肥牛蔬菜捲,,85克,122.4
長瓜,,100克,15
卦包,,158克,276.6
芥末子牛肉鮮蔬沙拉,,241.9克,198.4
花仙子果汁,,263.1克,178.9
花生仁拌高麗菜,,48克,227
花生牛軋糖,,100克,432
花生仁湯,1個,,106
金平牛蒡,,168.8克,231.3
青皮石榴,,100克,61
花生吐司,,76克,280.4
炒玉米肉,,145克,165.2
金瓜米粉,,519.5克,923.3
炒玉米粒,,50.1克,66.3
炒玉米筍,,105克,73.8
炒玉米筍肉片,,113.5克,87.4
長生果,,100克,298
金瓜炒肉絲,,65克,90.1
炒四季豆,,105克,73.1
花生芝麻湯圓,,78.3克,322.4
花生芝麻糖,,100克,498
虎皮青椒,,440克,107
炒白花椰,,105克,68.7
花生果醬,1大匙,,50.2
花生厚片,,68克,229.8
果汁朗姆酒,,100克,201
花生起酥,,81克,274.6
花生貢糖,1個,,495
京白梨,,100克,55
狗母魚,,100克,100
金目魚,,100克,109
青皮魚,,100克,118
狗母魚[大頭狗母魚],,100克,100
虱目魚丸,,52克,146.7
虱目魚丸,,50克,75
虱目魚清粥,,187.5克,518.4
虱目魚粥,,410克,608.4
虱目魚湯,,15克,32
炒白菜,,105克,57.2
芥末黑胡椒醬涼麵,,245克,510.1
花生湯圓,1個,,359.1
果汁醋飲料,1缶,,88.8
花生豬腳湯,,59克,147.8
乳汁燜筍,,241.7克,62.1
花生醬吐司,,45.5克,162.7
花生醬拌苦瓜,,271克,131
青玉蘋果,1個,,51.8
花生麵筋,1個,,61.3
花生麵筋牛肉,,107.1克,93.2
狗肉,,100克,116
兔肉,,100克,102
枝竹,,100克,472
兔肉,,100克,84
法式牛角麵包,,100克,375
芝多司,,75克,360
炒地瓜葉,,105克,74.2
味全低脂保久乳,1杯,,105.6
秈米粉,,100克,355
炒米粉,,180克,299
秈米粉[排米粉],,100克,355
秈米粉,,100克,346
法式烤洋蔥湯,,220克,376.1
法式配餐麵包,,100克,282
法式捲餅,,100克,535
秈米粥,,100克,58
秈米飯,,100克,113
法式黃金清湯,,80克,42.1
京式黃酥,,100克,490
松江腸,,100克,402
芸豆,,100克,25
油抒,,100克,145
炒肝,,100克,96
青豆[青大豆],,100克,373
油抒[香梭魚],,100克,145
芸豆,,100克,296
芸豆,,100克,334
芸豆,,100克,314
芸豆,,100克,306
長角仿對蝦,1份,,23.7
油豆角,,100克,22
