大蔥,91,32.25,0.3554268292685
大蕉,100,119,1.19
大薊葉,100,35,0.35
大薯,100,89.6666666666667,0.896666666666667
大蝦,100,89.5,0.895
大西洋三文魚,100,207,2.07
大西洋胸棘鯛,100,90.5,0.905
大豆,100,316.6,3.166
大豆卵磷脂,100,216,3.79
大豆沙拉油,54.5,490,8.944444444445
大豆油,43,377,8.60714285714333
大豆濃縮蛋白,100,331,3.31
大豆粉,100,380.333333333333,3.80333333333333
大豆芽,100,106.8,1.068
大里肌,67,144.333333333333,22.8933333333333
大頭菜,125.142857142857,40.8571428571429,0.335693581780571
大頭蝦,100,42.6666666666667,0.93
大餅包小餅,100,373,3.73
大骨汁,100,49,0.49
大麥,100,327,3.27
大麻哈魚,86,141,1.688055555555
大麻油,100,898,8.98
大黃,100,52.6666666666667,0.526666666666667
大黃米,100,349,3.49
天婦羅,100,131.333333333333,1.74
天貝,100,194.5,1.945
太妃糖,100,416,4.16
太陽餅,65,280.666666666667,5.25
夾心餅乾,100,297,4.95
奇寶巧克力豆酥餅,43,150,3.48837209302
奇異果,128.666666666667,54.6923076923077,0.454520911360833
契達乾酪,100,336.5,3.365
奧利多,150,79.5,0.46
奶,100,78,0.78
奶昔,74,186,1.383333333335
奶柿子,100,13,0.13
奶油,67.375,352.9,6.51230519480625
奶油乳酪,12.75,46.5,3.6625
奶油捲,150,490.5,4.87333333333
奶油糖果,100,465,4.65
奶片,100,472,4.72
奶疙瘩,100,426,4.26
奶皮子,100,460,4.6
奶粉,100,226,3.62
奶精,100,270.75,4.93
奶糖,100,407,4.07
奶茶,318,101.8,0.3392365225836
奶豆腐,100,324,3.24
奶酥麵包,47.6666666666667,214,3.56608695652333
奶酪,100,328,3.28
姜,100,33.6666666666667,0.336666666666667
威士忌,83,184.4,2.4575
娃娃菜,100,10.5,0.105
婆羅門參,100,72.6666666666667,0.726666666666667
嫩豆腐,100,57.6666666666667,0.51
孔雀餅乾,135,630,4.66666666667
孕婦乳母奶粉,100,392.5,3.925
宮爆肉丁,100,344.5,3.445
家樂氏玉米片,50,188,3.76
密雲小棗,97.3333333333333,219,2.25202898550667
富士蘋果,100,49.5,0.495
富維它調味乳,100,102,0.6
寒鯛,100,54.5,0.81
寡醣飲料,100,112.5,0.45
寧波年糕,65,116.333333333333,2.19
寶礦力,350,343,0.98
對蝦,87,93,1.12819672131
小三角油豆腐,100,106.5,1.38
小卷,78.75,61.5,1.0778571428575
小天狗剌螺,100,54.5,0.8
小巧香腸,100,256,3.66
小扁豆,100,189.6,1.896
小扁豆芽,100,102.666666666667,1.02666666666667
小排,50.5,168,44.745
小方豆干,100,91.6666666666667,1.6
小旋花,100,54,0.54
小松菜,100,18,0.18
小水蘿蔔,88.6666666666667,19,0.222626262626333
小泥腸,100,295,2.95
小湯圓,32,75,2.3431372549
小玉,100,47,0.32
小玉西瓜,1706.66666666667,307.333333333333,0.184027777778
小番茄,100,41,0.22
小白菜,121.133333333333,20.6,0.466796377365667
小白蕪菁,100,24,0.24
小白豆,100,206.666666666667,2.06666666666667
小管,20.5,55.5,19.9125
小籠包,117,265.625,1.73364969801667
小米,100,361.666666666667,3.61666666666667
小米粥,100,46,0.46
小紅腸,100,280,2.8
小紅莓醬,100,152.5,1.525
小羊羹,100,136.333333333333,2.87
小茴香籽,100,313,3.13
小葉橘,90.5,38,0.4245679012345
小葉芥菜,94,24,0.2563636363635
小蔥,86.5,24,0.284383561644
小蕃茄,2,38,13.5
小薏仁,100,218,3.64
小蘇打粉,100,0,0
小西瓜,100,29,0.29
小西胡瓜,100,22,0.22
小豆粥,100,61.3333333333333,0.613333333333333
小餐包,50,182.5,3.7
小魚干,100,184,3.35
小麥,100,361.5,3.615
小麥粉,100,347.666666666667,3.47666666666667
小麥胚芽,100,289.5,4.14
小麥草汁,208.5,23.6666666666667,0.176577287066245
小麥酒,100,290.5,2.905
小麥麵粉,100,360.333333333333,3.60333333333333
小黃瓜,232.5,29.8,1.53667698303625
小龍蝦,100,79.5,0.795
尖嘴白,93.3333333333333,137,1.48416666666667
尼羅吳郭魚,100,96.5,1.43
山東白菜,316.5,36.6666666666667,0.150046904315
山核桃,83.1111111111111,610.888888888889,10.3381481481556
山楂球,100,370,3.7
山竹,140.714285714286,47.7777777777778,0.459480519480571
山粉圓,100,260,4
山羊肉,87.625,193.5,7.25625
山芹菜,100,27,0.27
山葵粉,100,211,3.84
山薯,100,77,0.77
山藥,92.9090909090909,122.75,1.33491991682191
川七,100,12,0.12
巧克力,95.3333333333333,479.5625,5.244
巧克力棒,82,352.666666666667,5.01219512195
巧克力牛奶,103,145,0.776699029126
巧克力牛奶糖,100,256,4.1
巧克力蛋糕,100,276.666666666667,3.4
巧克力豆奶,100,39,0.39
巧克力飲料,28,100,3.57142857143
巨峰葡萄,100,62.6666666666667,0.505
巴梨,93,47.6666666666667,0.517426160337667
巴沙魚,100,87,0.87
巴西果仁,67,510.666666666667,66.1566666666667
巴雷特香腸,100,286.75,2.8675
布丁,NA,144,NA
布丁牛乳,100,102,0.6
布丁粉,100,241,4.02
布冧,100,58,0.58
布甸粉,100,355.5,3.555
帕爾馬芝士,100,403.666666666667,4.03666666666667
帶子,100,145.666666666667,1.45666666666667
帶魚,95.2,123.2,1.312210526316
干絲,62.5,94.5,2.345
干貝,100,289.333333333333,2.89333333333333
干貝酥,100,101.5,1.45
平菇,98.6,19.6,0.1990107526882
平魚,85,141,1.714285714285
年糕,100,154,1.54
幼滑蝦醬,100,59,0.99
度小月擔仔麵,137.5,213,1.480714285715
庫爾勒梨,97,32.6666666666667,0.335897435897333
廖花糖,100,403.5,4.035
廣式芋頭粿,100,94,1.18
廣式蘿蔔糕,85,125,1.387857142855
廣東粥,282.666666666667,267.4,0.771608754376667
廣東香腸,100,433,4.33
強化ADEF沙拉油,100,463.5,8.83
德國啤酒香腸,100,257.5,2.575
心里美蘿蔔,94,22,0.234318181818
忌廉,100,263,2.63
忌廉芝士,100,243.25,2.4325
忌廉芝士醬,100,295,2.95
快魚,85.5,159,1.91471830986
恩典酥,100,377,5.2
情人果脆冰棒,120,120,NA
情人糖,100,260,4
意大利粉大蒜番茄醬,100,87,0.87
意大利肉腸,100,317,3.17
意大利芥蘭,100,27.5,0.275
意大利辣味香腸,100,453.5,4.535
意式沙律醬,100,165.875,1.65875
意式香腸,100,282.666666666667,2.82666666666667
愛文芒果,52,50,5.2
愛玉凍,100,18.6666666666667,0.27
愛玉子,100,254,4.07
感魚,100,114,1.14
慈姑,97.25,87.25,0.90154494382
慈菇,100,95,0.95
慶豐桃,100,41,0.41
憂鬱管鞭蝦,100,55,0.85
扁圓南瓜,100,16.6666666666667,0.166666666666667
扁蓄菜,100,71,0.71
扁豆,112.6,147.6,1.4337018938508
扇貝,100,182.4,1.824
扒雞,91.5,213.75,2.414393939395
抗氧化奶粉,100,237.5,3.66
披薩,160,130.666666666667,1.221818181818
抱子甘藍,100,38.2,0.382
拉麵,75.6666666666667,273.222222222222,2.98310344827667
拖肥糖,100,515,5.15
